Data,EPS,Dividend,,,,,,,,,
30-Apr-16,? 117.56,? 60.27,,,,,,,,,
31-Mar-16,? 117.90,? 59.91,,,,,,,,,
29-Feb-16,? 118.45,? 59.85,,,,,,,,,
31-Jan-16,? 118.59,? 59.83,,,,,,,,,
31-Dec-15,? 118.82,? 59.84,,,,,,,,,
30-Nov-15,? 120.30,? 59.88,,,,,,,,,
31-Oct-15,? 121.93,? 59.71,,,,,,,,,
30-Sep-15,? 123.75,? 59.58,,,,,,,,,
31-Aug-15,? 125.49,? 58.98,,,,,,,,,
31-Jul-15,? 127.24,? 58.45,,,,,,,,,
30-Jun-15,? 129.18,? 58.03,,,,,,,,,
31-May-15,? 131.61,? 57.59,,,,,,,,,
30-Apr-15,? 134.26,? 57.16,,,,,,,,,
31-Mar-15,? 136.53,? 56.81,,,,,,,,,
28-Feb-15,? 138.75,? 56.59,,,,,,,,,
31-Jan-15,? 140.77,? 56.45,,,,,,,,,
31-Dec-14,? 141.52,? 56.13,,,,,,,,,
30-Nov-14,? 142.39,? 55.84,,,,,,,,,
31-Oct-14,? 143.29,? 55.45,,,,,,,,,
30-Sep-14,? 144.59,? 54.56,,,,,,,,,
31-Aug-14,? 143.40,? 53.81,,,,,,,,,
31-Jul-14,? 141.87,? 53.09,,,,,,,,,
30-Jun-14,? 140.53,? 52.53,,,,,,,,,
31-May-14,? 139.75,? 52.06,,,,,,,,,
30-Apr-14,? 139.21,? 51.47,,,,,,,,,
31-Mar-14,? 138.62,? 50.94,,,,,,,,,
28-Feb-14,? 139.22,? 50.51,,,,,,,,,
31-Jan-14,? 139.43,? 50.16,,,,,,,,,
31-Dec-13,? 139.65,? 49.80,,,,,,,,,
30-Nov-13,? 136.93,? 49.55,,,,,,,,,
31-Oct-13,? 133.95,? 49.16,,,,,,,,,
30-Sep-13,? 130.91,? 48.77,,,,,,,,,
31-Aug-13,? 129.47,? 48.49,,,,,,,,,
31-Jul-13,? 128.05,? 48.12,,,,,,,,,
30-Jun-13,? 126.51,? 47.72,,,,,,,,,
31-May-13,? 125.30,? 47.25,,,,,,,,,
30-Apr-13,? 124.01,? 46.78,,,,,,,,,
31-Mar-13,? 122.37,? 46.27,,,,,,,,,
28-Feb-13,? 122.14,? 45.85,,,,,,,,,
31-Jan-13,? 122.58,? 45.39,,,,,,,,,
31-Dec-12,? 122.38,? 44.81,,,,,,,,,
30-Nov-12,? 122.05,? 44.52,,,,,,,,,
31-Oct-12,? 121.46,? 44.48,,,,,,,,,
30-Sep-12,? 121.41,? 44.20,,,,,,,,,
31-Aug-12,? 122.62,? 43.30,,,,,,,,,
31-Jul-12,? 123.97,? 42.32,,,,,,,,,
30-Jun-12,? 124.44,? 41.53,,,,,,,,,
31-May-12,? 124.55,? 41.12,,,,,,,,,
30-Apr-12,? 124.70,? 40.75,,,,,,,,,
31-Mar-12,? 125.37,? 40.08,,,,,,,,,
29-Feb-12,? 125.56,? 39.57,,,,,,,,,
31-Jan-12,? 125.35,? 39.07,,,,,,,,,
31-Dec-11,? 125.14,? 38.73,,,,,,,,,
30-Nov-11,? 124.85,? 38.58,,,,,,,,,
31-Oct-11,? 124.76,? 38.31,,,,,,,,,
30-Sep-11,? 124.52,? 38.03,,,,,,,,,
31-Aug-11,? 123.22,? 37.34,,,,,,,,,
31-Jul-11,? 122.07,? 36.72,,,,,,,,,
30-Jun-11,? 120.68,? 36.05,,,,,,,,,
31-May-11,? 119.33,? 35.70,,,,,,,,,
30-Apr-11,? 118.66,? 35.40,,,,,,,,,
31-Mar-11,? 118.18,? 35.03,,,,,,,,,
28-Feb-11,? 117.40,? 34.55,,,,,,,,,
31-Jan-11,? 116.03,? 34.28,,,,,,,,,
31-Dec-10,? 114.62,? 34.06,,,,,,,,,
30-Nov-10,? 112.10,? 34.04,,,,,,,,,
31-Oct-10,? 109.43,? 33.87,,,,,,,,,
30-Sep-10,? 106.85,? 33.68,,,,,,,,,
31-Aug-10,? 104.55,? 33.55,,,,,,,,,
31-Jul-10,? 102.33,? 33.38,,,,,,,,,
30-Jun-10,? 99.99,? 33.24,,,,,,,,,
31-May-10,? 96.83,? 33.10,,,,,,,,,
30-Apr-10,? 93.84,? 32.99,,,,,,,,,
